,PseudoTime
E250_99,0.32996632996632996
E999_193,0.6464646464646465
E313_62,0.2053872053872054
E664_187,0.6262626262626263
E349_100,0.3333333333333333
E710_160,0.5353535353535354
E277_25,0.08080808080808081
E266_22,0.0707070707070707
E615_250,0.8383838383838383
E990_37,0.12121212121212122
E43_101,0.3367003367003367
E656_206,0.6902356902356902
E11_71,0.2356902356902357
E583_13,0.04040404040404041
E867_228,0.7643097643097643
E666_273,0.9158249158249159
E485_241,0.8080808080808081
E119_159,0.531986531986532
E55_210,0.7037037037037037
E670_101,0.3367003367003367
E850_50,0.16498316498316498
E273_225,0.7542087542087542
E377_171,0.5723905723905723
E577_249,0.835016835016835
E967_154,0.5151515151515151
E609_14,0.04377104377104377
E181_262,0.8787878787878788
E456_57,0.18855218855218855
E826_248,0.8316498316498316
E283_71,0.2356902356902357
E319_129,0.43097643097643096
E430_47,0.15488215488215487
E989_119,0.39730639730639733
E316_276,0.9259259259259259
E495_27,0.08754208754208755
E173_113,0.3771043771043771
E188_216,0.7239057239057239
E501_231,0.7744107744107744
E81_92,0.3063973063973064
E10_259,0.8686868686868687
E379_148,0.494949494949495
E519_25,0.08080808080808081
E62_205,0.6868686868686869
E900_30,0.09764309764309764
E353_251,0.8417508417508418
E749_47,0.15488215488215487
E515_40,0.13131313131313133
E736_97,0.32323232323232326
E75_245,0.8215488215488216
E859_215,0.7205387205387206
E58_94,0.31313131313131315
E121_24,0.07744107744107744
E308_12,0.037037037037037035
E41_231,0.7744107744107744
E131_285,0.9562289562289562
E549_99,0.32996632996632996
E559_258,0.8653198653198653
E605_273,0.9158249158249159
E503_101,0.3367003367003367
E623_274,0.9191919191919192
E585_259,0.8686868686868687
E101_44,0.1447811447811448
E624_243,0.8148148148148148
E447_66,0.21885521885521886
E347_142,0.47474747474747475
E956_205,0.6868686868686869
E432_108,0.3602693602693603
E473_160,0.5353535353535354
E835_48,0.15824915824915825
E520_152,0.5084175084175084
E72_262,0.8787878787878788
E265_217,0.7272727272727273
E833_253,0.8484848484848485
E400_291,0.9764309764309764
E29_133,0.4444444444444444
E245_31,0.10101010101010101
E627_26,0.08417508417508418
E484_222,0.7441077441077442
E284_273,0.9158249158249159
E203_250,0.8383838383838383
E579_2,0.003367003367003367
E621_291,0.9764309764309764
E502_274,0.9191919191919192
E135_128,0.4276094276094276
E801_22,0.0707070707070707
E603_267,0.8956228956228957
E521_252,0.8451178451178452
E39_14,0.04377104377104377
E351_255,0.8552188552188552
E745_192,0.6430976430976431
E578_293,0.9831649831649831
E985_145,0.48484848484848486
E150_116,0.3872053872053872
