,PseudoTime
E991_17,0.05387205387205387
E67_70,0.23232323232323232
E271_135,0.4511784511784512
E450_11,0.03367003367003367
E397_108,0.3602693602693603
E335_139,0.46464646464646464
E236_165,0.5521885521885522
E910_120,0.4006734006734007
E505_40,0.13131313131313133
E687_33,0.10774410774410774
E232_221,0.7407407407407407
E904_126,0.4208754208754209
E458_289,0.9696969696969697
E896_45,0.14814814814814814
E122_186,0.622895622895623
E882_235,0.7878787878787878
E362_201,0.6734006734006734
E277_278,0.9326599326599326
E58_253,0.8484848484848485
E521_282,0.9461279461279462
E685_44,0.1447811447811448
E63_134,0.4478114478114478
E322_68,0.2255892255892256
E778_49,0.16161616161616163
E950_125,0.4175084175084175
E872_120,0.4006734006734007
E547_293,0.9831649831649831
E700_117,0.39057239057239057
E675_30,0.09764309764309764
E417_100,0.3333333333333333
E814_237,0.7946127946127947
E761_47,0.15488215488215487
E801_91,0.30303030303030304
E966_38,0.12457912457912458
E670_126,0.4208754208754209
E13_140,0.468013468013468
E227_238,0.797979797979798
E745_129,0.43097643097643096
E212_253,0.8484848484848485
E631_130,0.43434343434343436
E779_208,0.696969696969697
E425_149,0.4983164983164983
E717_124,0.41414141414141414
E690_270,0.9057239057239057
E45_276,0.9259259259259259
E244_67,0.2222222222222222
E60_171,0.5723905723905723
E206_111,0.37037037037037035
E299_88,0.29292929292929293
E7_94,0.31313131313131315
E200_83,0.2760942760942761
E822_46,0.15151515151515152
E26_85,0.2828282828282828
E549_140,0.468013468013468
E569_86,0.28619528619528617
E571_151,0.5050505050505051
E716_31,0.10101010101010101
E278_266,0.8922558922558923
E255_274,0.9191919191919192
E216_151,0.5050505050505051
E661_288,0.9663299663299664
E324_204,0.6835016835016835
E873_26,0.08417508417508418
E887_291,0.9764309764309764
E339_145,0.48484848484848486
E565_109,0.36363636363636365
E725_238,0.797979797979798
E181_57,0.18855218855218855
E888_9,0.026936026936026935
E525_178,0.5959595959595959
E812_273,0.9158249158249159
E677_265,0.8888888888888888
E993_130,0.43434343434343436
E595_68,0.2255892255892256
E791_249,0.835016835016835
E659_28,0.09090909090909091
E438_186,0.622895622895623
E678_296,0.9932659932659933
E863_146,0.4882154882154882
E912_203,0.6801346801346801
E108_160,0.5353535353535354
E159_79,0.26262626262626265
E907_153,0.5117845117845118
E502_117,0.39057239057239057
E72_257,0.8619528619528619
E71_193,0.6464646464646465
E144_31,0.10101010101010101
E624_118,0.3939393939393939
E692_71,0.2356902356902357
E358_106,0.35353535353535354
E338_221,0.7407407407407407
E33_184,0.6161616161616161
E420_229,0.7676767676767676
E118_241,0.8080808080808081
E806_84,0.27946127946127947
E796_82,0.2727272727272727
E166_178,0.5959595959595959
E153_290,0.9730639730639731
E846_151,0.5050505050505051
E837_132,0.44107744107744107
E337_230,0.7710437710437711
E473_226,0.7575757575757576
E701_5,0.013468013468013467
E411_294,0.9865319865319865
E809_45,0.14814814814814814
E68_72,0.23905723905723905
E171_55,0.18181818181818182
E965_11,0.03367003367003367
E824_154,0.5151515151515151
E447_209,0.7003367003367004
E560_86,0.28619528619528617
E611_9,0.026936026936026935
